Ecoli_Gene,Salm_Gene,Lethality_Type
b4382,STM4231,Salm Death
b1136,STM1238,Community Collapse
b1062,STM2421,Ecoli Death
b1062,STM4460,Community Collapse
b1062,STM4459,Community Collapse
b1062,STM1058,Community Collapse
b1062,STM1163,Community Collapse
b1062,STM3733,Community Collapse
b1062,STM1707,Community Collapse
b1281,STM2421,Ecoli Death
b1281,STM4460,Community Collapse
b1281,STM4459,Community Collapse
b1281,STM1058,Community Collapse
b1281,STM1163,Community Collapse
b1281,STM3733,Community Collapse
b1281,STM1707,Community Collapse
b3770,STM3904,Community Collapse
b3770,STM3903,Community Collapse
b3770,STM0399,Ecoli Death
b3770,STM3909,Community Collapse
b0071,STM0399,Ecoli Death
b0071,STM0112,Community Collapse
b0071,STM0113,Community Collapse
b0072,STM0399,Ecoli Death
b0072,STM0112,Community Collapse
b0072,STM0113,Community Collapse
b0720,STM0730,Community Collapse
b0720,STM2558,Community Collapse
b0720,STM1718,Community Collapse
b0720,STM0067,Community Collapse
b0720,STM0066,Community Collapse
b0720,STM1238,Community Collapse
b0720,STM0439,Community Collapse
b0720,STM2310,Ecoli Death
b3771,STM3904,Community Collapse
b3771,STM3903,Community Collapse
b3771,STM0399,Ecoli Death
b3771,STM3909,Community Collapse
b2600,STM2669,Community Collapse
b2599,STM2667,Community Collapse
b3642,STM2421,Ecoli Death
b3642,STM4460,Community Collapse
b3642,STM4459,Community Collapse
b3642,STM1058,Community Collapse
b3642,STM1163,Community Collapse
b3642,STM3733,Community Collapse
b3642,STM1707,Community Collapse
b1260,STM1724,Community Collapse
b1260,STM1723,Community Collapse
b1260,STM1725,Community Collapse
b1260,STM1727,Community Collapse
b1260,STM1726,Community Collapse
b1261,STM1724,Community Collapse
b1261,STM1723,Community Collapse
b1261,STM1725,Community Collapse
b1261,STM1727,Community Collapse
b1261,STM1726,Community Collapse
b1263,STM1724,Community Collapse
b1263,STM1723,Community Collapse
b1263,STM1725,Community Collapse
b1263,STM1727,Community Collapse
b1263,STM1726,Community Collapse
b1264,STM1724,Community Collapse
b1264,STM1723,Community Collapse
b1264,STM1725,Community Collapse
b1264,STM1727,Community Collapse
b1264,STM1726,Community Collapse
b1262,STM1724,Community Collapse
b1262,STM1723,Community Collapse
b1262,STM1725,Community Collapse
b1262,STM1727,Community Collapse
b1262,STM1726,Community Collapse
b2827,STM2421,Ecoli Death
b2827,STM3001,Community Collapse
b0120,STM0165,Salm Death
b0120,STM4248,Salm Death
b0120,STM0166,Salm Death
b3774,STM3904,Community Collapse
b3774,STM3903,Community Collapse
b3774,STM0399,Ecoli Death
b3774,STM3909,Community Collapse
b0121,STM0165,Community Collapse
b0121,STM4248,Salm Death
b0121,STM0166,Salm Death
b0523,STM1232,Community Collapse
b0523,STM4176,Community Collapse
b0523,STM0533,Community Collapse
b0523,STM0534,Community Collapse
b0523,STM2362,Community Collapse
b0523,STM2487,Community Collapse
b0523,STM2565,Community Collapse
b0523,STM4175,Community Collapse
b0523,STM2499_S,Community Collapse
b3172,STM4123,Community Collapse
b3172,STM3290_S,Community Collapse
b3958,STM4122,Community Collapse
b3958,STM2992,Community Collapse
b3958,STM4120,Community Collapse
b3958,STM4121,Community Collapse
b3958,STM3066,Ecoli Death
b1131,STM1232,Community Collapse
b1131,STM4366,Community Collapse
b1131,STM4176,Community Collapse
b1131,STM0533,Community Collapse
b1131,STM0534,Community Collapse
b1131,STM2362,Community Collapse
b1131,STM2487,Community Collapse
b1131,STM2565,Community Collapse
b1131,STM4175,Community Collapse
b1131,STM2499_S,Community Collapse
b4006,STM1232,Community Collapse
b4006,STM4176,Community Collapse
b4006,STM0533,Community Collapse
b4006,STM0534,Community Collapse
b4006,STM2071,Community Collapse
b4006,STM2362,Community Collapse
b4006,STM2073,Community Collapse
b4006,STM2077,Community Collapse
b4006,STM2075,Community Collapse
b4006,STM2074,Community Collapse
b4006,STM2072,Community Collapse
b4006,STM0150,Ecoli Death
b4006,STM2078,Community Collapse
b4006,STM2487,Community Collapse
b4006,STM2565,Community Collapse
b4006,STM2076,Community Collapse
b4006,STM4175,Community Collapse
b4006,STM2499_S,Community Collapse
b2751,STM2933,Community Collapse
b2751,STM2946,Community Collapse
b2751,STM3699,Community Collapse
b2751,STM2935,Community Collapse
b2751,STM2934,Community Collapse
b2752,STM2933,Community Collapse
b2752,STM2946,Community Collapse
b2752,STM3699,Community Collapse
b2752,STM2935,Community Collapse
b2752,STM2934,Community Collapse
b3967,STM3468,Community Collapse
b3967,STM3539,Community Collapse
b3967,STM3947,Community Collapse
b3967,STM0064,Community Collapse
b3967,STM2489,Community Collapse
b3967,STM4131,Community Collapse
b3967,STM0213,Community Collapse
b3967,STM2483,Community Collapse
b3967,STM0123,Community Collapse
b3967,STM0126,Community Collapse
b3967,STM0129,Community Collapse
b2780,STM2927,Ecoli Death
b2780,STM2421,Ecoli Death
b2780,STM2953,Community Collapse
b4177,STM1232,Community Collapse
b4177,STM4366,Community Collapse
b0003,STM3539,Community Collapse
b0003,STM0003,Community Collapse
b0003,STM0004,Community Collapse
b3957,STM4122,Community Collapse
b3957,STM2992,Community Collapse
b3957,STM4120,Community Collapse
b3957,STM4121,Community Collapse
b3957,STM3066,Ecoli Death
b2472,STM3468,Community Collapse
b2472,STM3539,Community Collapse
b2472,STM3947,Community Collapse
b2472,STM0064,Community Collapse
b2472,STM2489,Community Collapse
b2472,STM4131,Community Collapse
b2472,STM0213,Community Collapse
b2472,STM2483,Community Collapse
b2472,STM0123,Community Collapse
b2472,STM0126,Community Collapse
b2472,STM0129,Community Collapse
b0004,STM3539,Community Collapse
b0004,STM0003,Community Collapse
b0004,STM0004,Community Collapse
b4245,STM2421,Ecoli Death
b4245,STM4460,Community Collapse
b4245,STM4459,Community Collapse
b4245,STM1058,Community Collapse
b4245,STM1163,Community Collapse
b4245,STM3733,Community Collapse
b4245,STM1707,Community Collapse
b2507,STM0413,Ecoli Death
b2507,STM2510,Community Collapse
b2763,STM2933,Community Collapse
b2763,STM2946,Community Collapse
b2763,STM3699,Community Collapse
b2763,STM2935,Community Collapse
b2763,STM2934,Community Collapse
